time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-02-23T07:46:27.104Z,-0.6925,98.4684,22.609,5.2,mww,90,67,2.175,0.79,us,us7000m114,2024-02-23T08:02:34.040Z,"158 km SSE of Teluk Dalam, Indonesia",earthquake,7.99,4.708,0.093,11,reviewed,us,us
2024-02-23T07:32:34.029Z,-19.2551,-174.7076,112.271,5.3,mww,87,65,1.961,0.63,us,us7000m10z,2024-02-23T07:50:42.040Z,"68 km NW of Fangale’ounga, Tonga",earthquake,12.32,6.315,0.075,17,reviewed,us,us
2024-02-23T04:28:03.531Z,36.5706,68.4384,10,4.6,mb,53,122,3.563,1.05,us,us7000m10f,2024-02-23T06:03:40.040Z,"41 km WSW of Kunduz, Afghanistan",earthquake,8.96,1.93,0.077,52,reviewed,us,us
2024-02-23T04:08:34.332Z,41.1486,78.6429,10,4.5,mb,41,151,0.436,0.76,us,us7000m10d,2024-02-23T05:49:46.040Z,"127 km W of Aykol, China",earthquake,4.65,1.966,0.1,29,reviewed,us,us
2024-02-23T01:51:12.509Z,-35.1238,-110.7859,1.992,6.3,mww,80,76,8.022,0.78,us,us7000m0zq,2024-02-23T04:11:34.040Z,"southern East Pacific Rise",earthquake,11.82,3.994,0.08,15,reviewed,us,us
2024-02-23T00:47:47.732Z,7.3693,-75.4481,64.935,4.6,mb,39,78,1.174,0.42,us,us7000m0zk,2024-02-23T01:19:40.040Z,"10 km NW of Valdivia, Colombia",earthquake,5.31,9.356,0.136,16,reviewed,us,us
2024-02-23T00:10:25.100Z,46.632,152.6453,35,4.7,mb,84,160,6.795,0.85,us,us7000m0yz,2024-02-23T00:38:34.040Z,"Kuril Islands",earthquake,6.45,1.844,0.041,181,reviewed,us,us
2024-02-22T21:40:35.514Z,-22.6662,-179.6663,565.551,4.6,mb,57,42,4.403,0.75,us,us7000m0xy,2024-02-22T21:56:53.040Z,"south of the Fiji Islands",earthquake,6.28,8.621,0.042,168,reviewed,us,us
2024-02-22T20:43:10.918Z,18.0652,-100.2346,62.814,4.7,mb,56,177,1.608,0.63,us,us7000m0xa,2024-02-23T04:53:19.710Z,"11 km SE of El Terrero, Mexico",earthquake,9.68,7.912,0.034,267,reviewed,us,us
2024-02-22T19:25:42.584Z,47.4637,153.8959,43.605,5.1,mb,80,123,6.153,0.78,us,us7000m0we,2024-02-22T19:42:38.040Z,"Kuril Islands",earthquake,9.25,6.38,0.029,384,reviewed,us,us
2024-02-22T11:43:16.255Z,9.0888,126.2215,71.911,5,mb,56,82,2.105,0.59,us,us7000m0s7,2024-02-22T12:25:36.145Z,"2 km ENE of Tandag, Philippines",earthquake,7.62,6.72,0.078,53,reviewed,us,us
2024-02-22T04:16:18.221Z,-4.7242,151.6312,145.114,5.4,mb,85,49,11.125,0.87,us,us7000m0pv,2024-02-23T04:19:17.131Z,"82 km WSW of Kokopo, Papua New Guinea",earthquake,10.92,6.818,0.07,70,reviewed,us,us
2024-02-22T04:05:32.463Z,6.6914,-73.1181,159.824,4.6,mb,99,80,0.794,0.66,us,us7000m0pr,2024-02-22T04:39:33.102Z,"5 km SSW of Jordán, Colombia",earthquake,8.13,8.016,0.034,266,reviewed,us,us
2024-02-21T23:55:21.358Z,-25.4736,-176.2295,10,5.1,mb,58,98,4.049,1.14,us,us7000m0p8,2024-02-22T01:26:06.040Z,"south of the Fiji Islands",earthquake,10.04,1.5,0.075,57,reviewed,us,us
2024-02-21T22:46:56.821Z,-6.2147,113.9054,598.734,5.1,mb,93,62,2.254,0.69,us,us7000m0n3,2024-02-22T15:02:58.912Z,"88 km N of Sumenep, Indonesia",earthquake,9.99,6.925,0.061,88,reviewed,us,us
2024-02-21T19:03:36.785Z,-59.6657,-29.7551,10,4.9,mb,42,85,6.529,0.64,us,us7000m0m3,2024-02-21T19:42:29.040Z,"South Sandwich Islands region",earthquake,12.46,3.976,0.103,32,reviewed,us,us
2024-02-21T14:07:34.425Z,-20.7967,-176.8814,279.113,5.4,mww,108,37,1.611,0.89,us,us7000m0jz,2024-02-22T14:10:32.953Z,"169 km WNW of Houma, Tonga",earthquake,11.38,4.826,0.098,10,reviewed,us,us
2024-02-21T12:57:06.668Z,36.1422,70.994,96.966,4.5,mb,102,77,3.11,0.62,us,us7000m0jg,2024-02-22T06:56:52.040Z,"77 km SW of Ashkāsham, Afghanistan",earthquake,7.99,7.26,0.059,83,reviewed,us,us
2024-02-21T12:11:31.201Z,-0.8889,146.0913,10,5.5,mww,81,51,5.623,0.48,us,us7000m0jb,2024-02-22T12:15:00.966Z,"182 km NW of Lorengau, Papua New Guinea",earthquake,7.58,1.301,0.066,22,reviewed,us,us
2024-02-21T11:19:28.647Z,-32.897,179.6679,226.061,4.7,mb,43,69,4.172,0.83,us,us7000m0j0,2024-02-21T12:52:37.040Z,"south of the Kermadec Islands",earthquake,9.75,7.843,0.081,46,reviewed,us,us
2024-02-21T11:01:08.037Z,14.5533,-90.247,241.375,4.6,mb,106,97,0.244,0.66,us,us7000m0iw,2024-02-21T11:45:06.040Z,"7 km WNW of Mataquescuintla, Guatemala",earthquake,8.77,5.828,0.033,280,reviewed,us,us
2024-02-21T07:36:05.113Z,22.5226,93.9546,72.27,4.9,mb,54,57,1.586,0.75,us,us7000m0ia,2024-02-21T16:20:02.258Z,"37 km ESE of Hakha, Myanmar",earthquake,7.85,4.26,0.056,102,reviewed,us,us
2024-02-21T07:03:58.052Z,40.4319,77.6631,10,4.6,mb,40,141,1.407,1.19,us,us7000m0i7,2024-02-21T08:22:42.040Z,"134 km WNW of Tumxuk, China",earthquake,4.96,1.932,0.114,23,reviewed,us,us
2024-02-21T04:31:44.419Z,-22.6984,-178.4547,355.526,5.2,mb,62,71,3.38,0.91,us,us7000m0hp,2024-02-21T04:49:03.040Z,"south of the Fiji Islands",earthquake,10.86,7.787,0.028,404,reviewed,us,us
2024-02-21T03:09:54.916Z,-55.5229,-29.7614,10,4.9,mb,33,102,4.077,0.63,us,us7000m0h6,2024-02-21T03:32:13.040Z,"South Sandwich Islands region",earthquake,14.68,1.959,0.101,31,reviewed,us,us
2024-02-20T23:23:46.503Z,6.8279,-72.984,154.592,4.5,mb,45,82,0.935,0.7,us,us7000m0g8,2024-02-20T23:38:38.040Z,"8 km N of Cepitá, Colombia",earthquake,7.94,6.437,0.051,115,reviewed,us,us
